АВС/ DEF;От;До;Емкость;Оператор;Регион;Территория ГАР;ИНН
982;8700000;8899999;200000;ПАО "МТС";Ханты - Мансийский - Югра АО;Ханты-Мансийский автономный округ - Югра;7740000076
982;8900000;8999999;100000;ПАО "МТС";Нижегородская обл.;Нижегородская область;7740000076
982;9000000;9499999;500000;ПАО "МТС";Тюменская обл.;Тюменская область;7740000076
982;9500000;9599999;100000;ПАО "Мобильные ТелеСистемы";Республика Коми;Республика Коми;7740000076
982;9600000;9899999;300000;ПАО "МТС";Тюменская обл.;Тюменская область;7740000076
982;9900000;9999999;100000;ПАО "МТС";Удмуртская Республика;Удмуртская Республика;7740000076
983;0000000;0099999;100000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.;Новосибирская область;7740000076
983;0100000;0104999;5000;ПАО "МТС";Республика Алтай;Республика Алтай;7740000076
983;0105000;0109999;5000;ПАО "Мобильные ТелеСистемы";Томская обл.;Томская область;7740000076
983;0110000;0199999;90000;ПАО "МТС";Кемеровская обл.;Кемеровская область - Кузбасс;7740000076
983;0200000;0339999;140000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.;Новосибирская область;7740000076
983;0500000;0509999;10000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;0510000;0519999;10000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.;Новосибирская область;7740000076
983;0520000;0529999;10000;ПАО "МТС";Республика Алтай;Республика Алтай;7740000076
983;0530000;0539999;10000;ПАО "Мобильные ТелеСистемы";Томская обл.;Томская область;7740000076
983;0540000;0549999;10000;ПАО "Мобильные ТелеСистемы";Республика Хакасия;Республика Хакасия;7740000076
983;0550000;0559999;10000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;0560000;0569999;10000;ПАО "МТС";Кемеровская обл.;Кемеровская область - Кузбасс;7740000076
983;0570000;0579999;10000;ПАО "Мобильные ТелеСистемы";Республика Хакасия;Республика Хакасия;7740000076
983;0580000;0599999;20000;ПАО "МТС";Республика Алтай;Республика Алтай;7740000076
983;0600000;0669999;70000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
983;0670000;0699999;30000;АО "МТТ";г. Санкт-Петербург и Ленинградская область;Город Санкт-Петербург, Ленинградская область;7705017253
983;0700000;0709999;10000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;0710000;0749999;40000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
983;0750000;0759999;10000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;0760000;0769999;10000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
983;0770000;0779999;10000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;0780000;0799999;20000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
983;1000000;1099999;100000;ПАО "Мобильные ТелеСистемы";Алтайский край;Алтайский край;7740000076
983;1100000;1199999;100000;ПАО "Мобильные ТелеСистемы";Омская обл.;Омская область;7740000076
983;1200000;1399999;200000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.;Новосибирская область;7740000076
983;1400000;1699999;300000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;1700000;1899999;200000;ПАО "Мобильные ТелеСистемы";Алтайский край;Алтайский край;7740000076
983;1900000;1999999;100000;ПАО "Мобильные ТелеСистемы";Республика Хакасия;Республика Хакасия;7740000076
983;2000000;2099999;100000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;2100000;2299999;200000;ПАО "МТС";Кемеровская обл.;Кемеровская область - Кузбасс;7740000076
983;2300000;2399999;100000;ПАО "Мобильные ТелеСистемы";Томская обл.;Томская область;7740000076
983;2400000;2499999;100000;ПАО "Мобильные ТелеСистемы";Иркутская обл.;Иркутская область;7740000076
983;2500000;2549999;50000;ПАО "МТС";Кемеровская обл.;Кемеровская область - Кузбасс;7740000076
983;2550000;2649999;100000;ПАО "Мобильные ТелеСистемы";Республика Хакасия;Республика Хакасия;7740000076
983;2650000;2699999;50000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;2700000;2799999;100000;ПАО "Мобильные ТелеСистемы";Республика Хакасия;Республика Хакасия;7740000076
983;2800000;2999999;200000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;3000000;3249999;250000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.;Новосибирская область;7740000076
983;3250000;3299999;50000;ПАО "МТС";Республика Алтай;Республика Алтай;7740000076
983;3300000;3399999;100000;ПАО "Мобильные ТелеСистемы";Республика Бурятия;Республика Бурятия;7740000076
983;3400000;3499999;100000;ПАО "Мобильные ТелеСистемы";Томская обл.;Томская область;7740000076
983;3500000;3599999;100000;ПАО "Мобильные ТелеСистемы";Алтайский край;Алтайский край;7740000076
983;3600000;3649999;50000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;3650000;3699999;50000;ПАО "МТС";Республика Тыва;Республика Тыва;7740000076
983;3700000;3799999;100000;ПАО "Мобильные ТелеСистемы";Республика Хакасия;Республика Хакасия;7740000076
983;3800000;3999999;200000;ПАО "Мобильные ТелеСистемы";Алтайский край;Алтайский край;7740000076
983;4000000;4199999;200000;ПАО "Мобильные ТелеСистемы";Иркутская обл.;Иркутская область;7740000076
983;4200000;4399999;200000;ПАО "Мобильные ТелеСистемы";Республика Бурятия;Республика Бурятия;7740000076
983;4400000;4499999;100000;ПАО "Мобильные ТелеСистемы";Иркутская обл.;Иркутская область;7740000076
983;4500000;4599999;100000;ПАО "Мобильные ТелеСистемы";Республика Бурятия;Республика Бурятия;7740000076
983;4600000;4699999;100000;ПАО "Мобильные ТелеСистемы";Иркутская обл.;Иркутская область;7740000076
983;4700000;4799999;100000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
983;5000000;5099999;100000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;5100000;5149999;50000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.;Новосибирская область;7740000076
983;5150000;5199999;50000;ПАО "МТС";Республика Тыва;Республика Тыва;7740000076
983;5200000;5299999;100000;ПАО "Мобильные ТелеСистемы";Омская обл.;Омская область;7740000076
983;5300000;5399999;100000;ПАО "Мобильные ТелеСистемы";Республика Бурятия;Республика Бурятия;7740000076
983;5400000;5579999;180000;ПАО "Мобильные ТелеСистемы";Алтайский край;Алтайский край;7740000076
983;5580000;5589999;10000;ПАО "МТС";Кемеровская обл.;Кемеровская область - Кузбасс;7740000076
983;5590000;5599999;10000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.;Новосибирская область;7740000076
983;5600000;5689999;90000;ПАО "Мобильные ТелеСистемы";Омская обл.;Омская область;7740000076
983;5690000;5699999;10000;ПАО "МТС";Кемеровская обл.;Кемеровская область - Кузбасс;7740000076
983;5700000;5799999;100000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;5800000;5849999;50000;ПАО "МТС";Республика Алтай;Республика Алтай;7740000076
983;5850000;5899999;50000;ПАО "Мобильные ТелеСистемы";Республика Хакасия;Республика Хакасия;7740000076
983;5900000;5944999;45000;ПАО "МТС";Республика Тыва;Республика Тыва;7740000076
